iter	Passed	Remaining
313	594	1299
314	596	1297
315	598	1295
316	600	1293
317	602	1291
318	604	1289
319	605	1287
320	607	1285
321	609	1283
322	611	1282
323	613	1281
324	615	1279
325	617	1277
326	619	1274
327	620	1271
328	622	1269
329	623	1266
330	625	1264
331	627	1262
332	628	1259
333	629	1255
334	631	1253
335	633	1251
336	635	1249
337	637	1247
338	638	1245
339	640	1243
340	642	1241
341	644	1239
342	646	1237
343	647	1235
344	649	1233
345	651	1231
346	653	1229
347	655	1227
348	657	1225
349	659	1223
350	660	1222
351	662	1220
352	664	1218
353	666	1216
354	667	1213
355	669	1211
356	671	1210
357	673	1208
358	675	1206
359	677	1204
360	679	1202
361	681	1200
362	683	1199
363	685	1197
364	687	1195
365	689	1193
366	691	1191
367	693	1190
368	695	1188
369	696	1186
370	698	1184
371	699	1181
372	700	1178
373	703	1176
374	705	1175
375	706	1173
376	708	1171
377	710	1168
378	712	1166
379	713	1164
380	715	1162
381	717	1160
382	719	1158
383	721	1156
384	722	1154
385	724	1153
386	726	1151
387	728	1149
388	730	1146
389	731	1144
390	733	1143
391	735	1141
392	737	1139
393	739	1137
394	741	1135
395	743	1133
396	744	1131
397	746	1129
398	748	1127
399	750	1125
400	752	1123
401	754	1122
402	756	1120
403	758	1118
404	760	1116
405	762	1115
406	764	1113
407	765	1111
408	767	1108
409	768	1106
410	770	1104
411	772	1102
412	774	1100
413	776	1098
414	778	1097
415	780	1095
416	782	1094
417	784	1092
418	786	1090
419	788	1088
420	789	1086
421	791	1084
422	793	1082
423	795	1081
424	797	1079
425	811	1094
426	813	1092
427	815	1090
428	817	1088
429	819	1086
430	821	1084
431	823	1082
432	825	1080
433	827	1078
434	829	1076
435	830	1074
436	832	1072
437	834	1071
438	836	1069
439	839	1067
440	841	1066
441	842	1064
442	844	1062
443	846	1060
444	848	1058
445	850	1056
446	852	1054
447	854	1052
448	856	1050
449	858	1048
450	859	1046
451	860	1043
452	862	1041
453	864	1039
454	866	1037
455	867	1035
456	869	1033
457	871	1031
458	873	1029
459	875	1027
460	877	1025
461	879	1023
462	881	1021
463	883	1020
464	885	1018
465	887	1017
466	889	1015
467	891	1013
468	893	1011
469	895	1009
470	897	1007
471	899	1006
472	901	1003
473	903	1002
474	904	1000
475	906	998
476	908	996
477	910	994
478	912	992
479	914	991
480	917	990
481	919	988
482	922	987
483	924	985
484	926	983
485	928	981
486	930	980
487	932	978
488	934	976
489	936	974
490	938	973
491	940	971
492	942	969
493	944	967
494	946	965
495	948	963
496	950	961
497	952	959
498	954	957
499	955	955
500	957	954
501	959	952
502	962	950
503	963	948
504	965	945
505	966	943
506	968	941
507	970	940
508	972	938
509	974	936
510	976	934
511	978	932
512	980	930
513	982	928
514	983	926
515	985	924
516	987	922
517	989	920
518	991	919
519	993	917
520	994	914
521	996	912
522	998	910
523	999	908
524	1001	906
525	1003	904
526	1005	902
527	1007	900
528	1009	898
529	1011	896
530	1013	895
531	1015	893
532	1017	891
533	1019	889
534	1021	887
535	1023	885
536	1024	883
537	1026	881
538	1028	879
539	1030	877
540	1032	875
541	1034	874
542	1036	872
543	1038	870
544	1040	868
545	1042	866
546	1043	864
547	1045	862
548	1047	860
549	1048	857
550	1050	856
551	1052	854
552	1054	852
553	1056	850
554	1058	848
555	1060	846
556	1062	844
557	1063	842
558	1065	840
559	1067	839
560	1069	837
561	1071	835
562	1073	833
563	1075	831
564	1077	829
565	1078	827
566	1080	825
567	1082	823
568	1084	821
569	1086	819
570	1088	817
571	1090	815
572	1092	813
573	1094	812
574	1097	810
575	1099	809
576	1101	807
577	1103	805
578	1105	804
579	1107	802
580	1109	800
581	1111	798
582	1113	796
583	1115	794
584	1117	792
585	1119	790
586	1121	788
587	1123	786
588	1125	785
589	1126	783
590	1128	781
591	1130	779
592	1132	777
593	1134	775
594	1136	773
595	1138	771
596	1140	769
597	1142	767
598	1144	766
599	1146	764
600	1148	762
601	1150	760
602	1152	758
603	1154	756
604	1156	755
605	1158	753
606	1159	750
607	1161	748
608	1163	746
609	1165	744
610	1167	743
611	1169	741
612	1171	739
613	1173	737
614	1176	736
615	1178	734
616	1180	732
617	1182	731
618	1184	729
619	1186	727
620	1189	726
621	1191	724
622	1193	722
623	1196	720
624	1198	718
625	1200	717
626	1202	715
627	1204	713
628	1206	711
629	1208	709
630	1210	707
631	1212	705
632	1215	704
633	1217	702
634	1220	701
635	1222	699
636	1223	697
637	1225	695
638	1227	693
639	1229	691
640	1231	689
641	1233	688
642	1236	686
643	1237	684
644	1239	682
645	1242	680
646	1244	678
647	1246	677
648	1248	675
649	1250	673
650	1252	671
651	1254	669
652	1256	667
653	1258	666
654	1260	664
655	1263	662
656	1265	660
657	1268	659
658	1270	657
659	1274	656
660	1276	654
661	1280	653
662	1282	651
663	1285	650
664	1288	649
665	1291	647
666	1293	645
667	1295	644
668	1298	642
669	1301	640
670	1303	639
671	1306	637
672	1308	635
673	1310	634
674	1312	632
675	1315	630
676	1316	628
677	1319	626
678	1320	624
679	1322	622
680	1325	620
681	1327	619
682	1329	617
683	1333	615
684	1335	614
685	1337	612
686	1340	610
687	1341	608
688	1343	606
689	1345	604
690	1348	602
691	1350	600
692	1352	599
693	1353	596
694	1354	594
695	1356	592
696	1359	590
697	1361	588
698	1363	587
699	1365	585
700	1367	583
701	1369	581
702	1371	579
703	1373	577
704	1375	575
705	1378	574
706	1381	572
707	1384	570
708	1386	569
709	1388	567
710	1391	565
711	1393	563
712	1395	561
713	1397	559
714	1400	558
715	1402	556
716	1405	554
717	1406	552
718	1409	550
719	1412	549
720	1415	547
721	1417	545
722	1420	544
723	1423	542
724	1425	540
725	1427	538
726	1429	536
727	1431	534
728	1434	533
729	1436	531
730	1438	529
731	1440	527
732	1442	525
733	1444	523
734	1446	521
735	1447	519
736	1449	517
737	1452	515
738	1455	513
739	1456	511
740	1459	510
741	1461	508
742	1463	506
743	1466	504
744	1468	502
745	1470	500
746	1473	498
747	1474	496
748	1476	494
749	1479	493
750	1481	491
751	1483	489
752	1485	487
753	1487	485
754	1489	483
755	1491	481
756	1493	479
757	1495	477
758	1498	475
759	1500	473
760	1501	471
761	1504	469
762	1506	467
763	1508	465
764	1510	463
765	1512	462
766	1514	460
767	1516	458
768	1519	456
769	1521	454
770	1523	452
771	1525	450
772	1527	448
773	1529	446
774	1531	444
775	1533	442
776	1535	440
777	1538	438
778	1540	436
779	1542	434
780	1543	432
781	1545	430
782	1547	428
783	1550	427
784	1552	425
785	1554	423
786	1556	421
787	1558	419
788	1561	417
789	1562	415
790	1565	413
791	1567	411
792	1569	409
793	1571	407
794	1574	405
795	1576	404
796	1579	402
797	1580	400
798	1582	398
799	1584	396
800	1586	394
801	1588	392
802	1591	390
803	1593	388
804	1595	386
805	1597	384
806	1599	382
807	1601	380
808	1604	378
809	1606	376
810	1608	374
811	1611	373
812	1612	370
813	1615	369
814	1617	367
815	1619	365
816	1621	363
817	1624	361
818	1626	359
819	1628	357
820	1630	355
821	1632	353
822	1634	351
823	1637	349
824	1639	347
825	1641	345
826	1643	343
827	1645	341
828	1647	339
829	1650	338
830	1652	336
831	1654	334
832	1656	332
833	1658	330
834	1659	327
835	1661	325
836	1663	324
837	1666	322
838	1667	320
839	1670	318
840	1672	316
841	1674	314
842	1676	312
843	1679	310
844	1681	308
845	1683	306
846	1685	304
847	1687	302
848	1690	300
849	1692	298
850	1695	296
851	1697	294
852	1699	292
853	1701	290
854	1703	288
855	1705	286
856	1707	284
857	1710	283
858	1712	281
859	1714	279
860	1716	277
861	1718	275
862	1720	273
863	1722	271
864	1724	269
865	1726	267
866	1729	265
867	1732	263
868	1734	261
869	1737	259
870	1739	257
871	1741	255
872	1743	253
873	1745	251
874	1746	249
875	1748	247
876	1751	245
877	1753	243
878	1756	241
879	1758	239
880	1759	237
881	1762	235
882	1764	233
883	1766	231
884	1769	229
885	1771	227
886	1773	225
887	1776	224
888	1778	222
889	1779	219
890	1782	218
891	1784	216
892	1786	214
893	1788	212
894	1790	210
895	1792	208
896	1794	206
897	1797	204
898	1799	202
899	1802	200
900	1804	198
901	1806	196
902	1808	194
903	1810	192
904	1812	190
905	1814	188
906	1815	186
907	1817	184
908	1819	182
909	1822	180
910	1824	178
911	1826	176
912	1829	174
913	1830	172
914	1833	170
915	1835	168
916	1837	166
917	1839	164
918	1842	162
919	1844	160
920	1846	158
921	1848	156
922	1850	154
923	1852	152
924	1854	150
925	1857	148
926	1859	146
927	1861	144
928	1863	142
929	1865	140
930	1868	138
931	1870	136
932	1872	134
933	1874	132
934	1876	130
935	1878	128
936	1881	126
937	1883	124
938	1885	122
939	1887	120
940	1889	118
941	1891	116
942	1894	114
943	1896	112
944	1898	110
945	1901	108
946	1903	106
947	1906	104
948	1909	102
949	1911	100
950	1914	98
951	1916	96
952	1918	94
953	1921	92
954	1923	90
955	1924	88
956	1927	86
957	1929	84
958	1930	82
959	1932	80
960	1935	78
961	1936	76
962	1938	74
963	1940	72
964	1942	70
965	1944	68
966	1946	66
967	1948	64
968	1950	62
969	1953	60
970	1956	58
971	1958	56
972	1960	54
973	1962	52
974	1964	50
975	1967	48
976	1969	46
977	1970	44
978	1973	42
979	1975	40
980	1977	38
981	1980	36
982	1982	34
983	1984	32
984	1986	30
985	1988	28
986	1991	26
987	1993	24
988	1995	22
989	1997	20
990	2000	18
991	2002	16
992	2004	14
993	2007	12
994	2009	10
995	2011	8
996	2014	6
997	2016	4
998	2017	2
999	2020	0
