iter	Logloss
0	0.6763397536
1	0.6580361536
2	0.6400492164
3	0.6273072434
4	0.6091509419
5	0.5922320462
6	0.5759053868
7	0.5602396127
8	0.5429304841
9	0.5296941593
10	0.517420172
11	0.5038311417
12	0.4881707765
13	0.474333036
14	0.4619671315
15	0.4500646718
16	0.4383131599
17	0.4287788877
18	0.4175895001
19	0.4051735641
20	0.3925089492
21	0.3817352257
22	0.3698322778
23	0.3615454548
24	0.3528922784
25	0.3438619619
26	0.3342391003
27	0.3233599114
28	0.3155728018
29	0.309303053
30	0.3003518111
31	0.2913442976
32	0.2842019975
33	0.278539903
34	0.272504805
35	0.266298377
36	0.2600783036
37	0.2533680226
38	0.2470710621
39	0.2424580083
40	0.2361289595
41	0.2311445507
42	0.2253890216
43	0.2203819635
44	0.2155290468
45	0.2099786637
46	0.2051968555
47	0.2008230677
48	0.1965249898
49	0.1900601323
50	0.1840374106
51	0.1808324609
52	0.1770380836
53	0.1721774544
54	0.1677389255
55	0.1635953064
56	0.158355907
57	0.154535507
58	0.1513149438
59	0.1479380338
60	0.1444755227
61	0.1413901043
62	0.1381012832
63	0.1354261087
64	0.1326052232
65	0.1305177974
66	0.1280901139
67	0.1249551473
68	0.1218876151
69	0.119546093
70	0.1163965865
71	0.1141106841
72	0.1120976814
73	0.1098021918
74	0.106847221
75	0.1043591758
76	0.1025657298
77	0.1001837458
78	0.09819613879
79	0.09628350289
80	0.09448735686
81	0.09249516361
82	0.09068417338
83	0.08893826681
84	0.08741012374
85	0.08613514712
86	0.08379811924
87	0.08182714182
88	0.0799942134
89	0.07765480069
90	0.0762433998
91	0.07485720261
92	0.07341690534
93	0.07225341174
94	0.07053940749
95	0.06965775205
96	0.06812491948
97	0.06718202632
98	0.06568798809
99	0.06486515604
100	0.06366285199
101	0.06260381103
102	0.06137738182
103	0.06029093294
104	0.05944892718
105	0.0586803563
106	0.05745111313
107	0.05643739062
108	0.05531084673
109	0.05476533992
110	0.05388776743
111	0.05262386189
112	0.05129307763
113	0.05060697453
114	0.05011654129
115	0.04933551116
116	0.04809877852
117	0.04737639693
118	0.0461165054
119	0.0454056205
120	0.04455257459
121	0.04386061405
122	0.04324778863
123	0.04256938551
124	0.04201575597
125	0.04141620409
126	0.04096354662
127	0.0401348232
128	0.03951159462
129	0.03884187714
130	0.03826203781
131	0.03779131503
132	0.03722354431
133	0.03674692146
134	0.03636744479
135	0.0358617672
136	0.03549403363
137	0.0350150758
138	0.03447378164
139	0.03401376253
140	0.03370085513
141	0.03305877471
142	0.03258468511
143	0.0322535034
144	0.03173383486
145	0.03133646923
146	0.0309217692
147	0.030463882
148	0.03010945211
149	0.02971491634
150	0.02926698423
151	0.02885869257
152	0.02855409843
153	0.02816644934
154	0.02791571025
155	0.02758723666
156	0.02718632392
157	0.02683401957
158	0.02662756256
159	0.02641906229
160	0.02599470407
161	0.02578740324
162	0.02547012049
163	0.02505303283
164	0.0247877631
165	0.02423226486
166	0.02399420967
167	0.02370780945
168	0.02346768184
169	0.02320466913
170	0.02284530596
171	0.02263679571
172	0.02246127932
173	0.02222867805
174	0.02202345041
175	0.02186759476
176	0.02162653177
177	0.02140166652
178	0.02104063459
179	0.02076050173
180	0.02063557087
181	0.02044110381
182	0.02021474621
183	0.01997669011
184	0.01972618998
185	0.01955209745
186	0.01921374717
187	0.01904640814
188	0.01887383033
189	0.0186409155
190	0.01829322428
191	0.01807496124
192	0.0179318998
193	0.0178202701
194	0.01772419325
195	0.01757597205
196	0.01734156766
197	0.01720072508
198	0.01702869642
199	0.01687220856
200	0.01670264079
201	0.01654784759
202	0.01634462381
203	0.01611236543
204	0.01595231122
205	0.01578215683
206	0.01569556804
207	0.01550594699
208	0.01538425754
209	0.0152747655
210	0.01511252445
211	0.01501121788
212	0.01491347931
213	0.01476817847
214	0.01459939013
215	0.01445171393
216	0.01432694836
217	0.01422254142
218	0.01410922608
219	0.01398653754
220	0.01389532858
221	0.01382128652
222	0.0137100786
223	0.01361570015
224	0.01351121366
225	0.01342346564
226	0.01333670815
227	0.01327799675
228	0.01316286159
229	0.01303709526
230	0.01297129193
231	0.01280392755
232	0.01272492455
233	0.01261233911
234	0.01250744192
235	0.01244887721
236	0.01235781511
237	0.01225004028
238	0.01215687076
239	0.01209192619
240	0.01199497278
241	0.01192709781
242	0.01184969523
243	0.01176655703
244	0.01169742246
245	0.01157555809
246	0.01152676655
247	0.01143924426
248	0.01134648838
249	0.01121866213
250	0.01110114117
251	0.01097825815
252	0.01088989905
253	0.01080961939
254	0.01071552326
255	0.01068049784
256	0.01059123425
257	0.01050684783
258	0.01044569163
259	0.01034346849
260	0.01026617757
261	0.01021982696
262	0.01010937498
263	0.01005331072
264	0.009960845124
265	0.009904919576
266	0.00986473449
267	0.009804978599
268	0.009713054747
269	0.009651802035
270	0.00957800735
271	0.009528921925
272	0.009465735981
273	0.009431192129
274	0.0093888511
275	0.009343466794
276	0.009240879348
277	0.009199475495
278	0.009140758848
279	0.0091060914
280	0.009038186668
281	0.00897575948
282	0.008924541345
283	0.008876325066
284	0.00882015291
285	0.008771781772
286	0.008663922897
287	0.008600613065
288	0.008525914749
289	0.00847876446
290	0.008440717437
291	0.008365723643
292	0.008325943186
293	0.008280004759
294	0.008214750917
295	0.008161748242
296	0.008133263992
297	0.00810466804
298	0.008055882035
299	0.008029331511
300	0.007974737302
301	0.007950583929
302	0.007904882422
303	0.007858356844
304	0.007778170283
305	0.007721714231
306	0.007678206763
307	0.007647572328
308	0.007622949238
309	0.007585295301
310	0.007548115858
311	0.007504480842
312	0.007472786666
313	0.007430680747
314	0.00739700274
315	0.007369160896
316	0.007331628416
317	0.007313266157
318	0.007277895698
319	0.007242959353
320	0.007206870283
321	0.007165201634
322	0.007144398311
323	0.007121992281
324	0.007087082721
325	0.007035228926
326	0.006953241219
327	0.006923521819
328	0.006893771263
329	0.006822766467
330	0.006791305997
331	0.006743915237
332	0.006689575649
333	0.006618569914
334	0.006567249226
335	0.006545542907
336	0.006522277769
337	0.00649245087
338	0.006468964428
339	0.00644066379
340	0.006404635921
341	0.006369147521
342	0.006351370038
343	0.006307593599
344	0.006284716198
345	0.006259295537
346	0.006233800861
347	0.006212292357
348	0.006176573917
349	0.006144759687
350	0.006118755787
351	0.006088473304
352	0.006070297716
353	0.006049682842
354	0.005998788727
355	0.005968695868
356	0.005935111674
357	0.00591776725
358	0.005900630312
359	0.005875520086
360	0.005849380621
361	0.005831816323
362	0.005814855951
363	0.00579886526
364	0.005781456783
365	0.0057535434
366	0.005722776766
367	0.00570070914
368	0.005672446101
369	0.005646567614
370	0.005611344403
371	0.005574265558
372	0.005518515544
373	0.005504358931
374	0.005487239495
375	0.005450069377
376	0.005424006042
377	0.005397081347
378	0.005368585326
379	0.00534235798
380	0.00532793869
381	0.005293046148
382	0.005258081004
383	0.005229522136
384	0.005199060955
385	0.005169805548
386	0.005154940304
387	0.005132226344
388	0.005103879553
389	0.005088320666
390	0.005067271191
391	0.005047820571
392	0.00503041956
393	0.004999891647
394	0.004983510417
395	0.004962394137
396	0.004928730788
397	0.004910676634
398	0.004896653084
399	0.0048692127
400	0.004851182537
401	0.004835078459
402	0.00481930101
403	0.00479658845
404	0.004772586776
405	0.004759610296
406	0.004748020687
407	0.004733632248
408	0.004683162532
409	0.004667262784
410	0.004636502631
411	0.004623500317
412	0.004598780338
413	0.004586495498
414	0.004571119491
415	0.004558481923
416	0.00454082107
417	0.004521598323
418	0.004505515758
419	0.004488037139
420	0.004449175312
421	0.004423267144
422	0.004407600849
423	0.004390271789
424	0.004378042774
425	0.004356557396
426	0.004344486712
